sentence,translated,gematria_sum
ᚪᚾ-ᚩᚳᛠᚾ-ᚩᚠ-ᚢᚩᛁᛞᚾᛖᛋᛋ-ᚢᚾᚠᚪᚦᚩᛗᚪᛒᛚᛖ,AN OKEAN OF UOIDNESS UNFATHOMABLE,1137
ᚦᛖ-ᚱᚩᚪᚱᛝ-ᚠᛁᚱᛖᛋ-ᚱᚪᚾ-ᛟᚱ-ᚦᛖ-ᚻᛠᚢᚾᛋ,THE ROARING FIRES RAN OER THE HEAUNS,961
ᛁᚾ-ᚹᚻᛁᚱᛚᚹᛁᚾᛞᛋ-ᚪᚾᛞ-ᚳᚪᛏᚪᚱᚪᚳᛏᛋ-ᚩᚠ-ᛒᛚᚩᚩᛞ,IN WHIRLWINDS AND KATARAKTS OF BLOOD,1398
ᚪᚾᛞ-ᛟᚱ-ᚦᛖ-ᛞᚪᚱᚳ-ᛞᛖᛋᚪᚱᛏᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,AND OER THE DARK DESARTS OF URISEN,1223
ᚠᛁᚱᛖᛋ-ᛈᚩᚢᚱ-ᚦᚱᚩ-ᚦᛖ-ᚢᚩᛁᛞ-ᚩᚾ-ᚪᛚᛚ-ᛋᛁᛞᛖᛋ,FIRES POUR THRO THE UOID ON ALL SIDES,1025
ᚩᚾ-ᚢᚱᛁᛋᛖᚾᛋ-ᛋᛖᛚᚠ-ᛒᛖᚷᚩᛏᛏᛖᚾ-ᚪᚱᛗᛁᛖᛋ,ON URISENS SELF BEGOTTEN ARMIES,1174
ᛒᚢᛏ-ᚾᚩ-ᛚᛁᚷᚻᛏ-ᚠᚱᚩᛗ-ᚦᛖ-ᚠᛁᚱᛖᛋ-ᚪᛚᛚ-ᚹᚪᛋ-ᛞᚪᚱᚳᚾᛖᛋᛋ,BUT NO LIGHT FROM THE FIRES ALL WAS DARKNESS,1513
ᛁᚾ-ᚦᛖ-ᚠᛚᚪᛗᛖᛋ-ᚩᚠ-ᛖᛏᛖᚱᚾᚪᛚ-ᚠᚢᚱᚣ,IN THE FLAMES OF ETERNAL FURY,1026
ᛁᚾ-ᚠᛁᛖᚱᚳᛖ-ᚪᛝᚢᛁᛋᚻ-ᚪᚾᛞ-ᚢᛖᚾᚳᚻᛚᛖᛋᛋ-ᚠᛚᚪᛗᛖᛋ,IN FIERKE AINGUISH AND UENKHLESS FLAMES,1496
ᛏᚩ-ᚦᛖ-ᛞᛖᛋᚪᚱᛏᛋ-ᚪᚾᛞ-ᚱᚩᚳᚳᛋ-ᚻᛖ-ᚱᚪᚾ-ᚱᚪᚷᛝ,TO THE DESARTS AND ROKKS HE RAN RAGING,1310
ᛏᚩ-ᚻᛁᛞᛖ-ᛒᚢᛏ-ᚻᛖ-ᚳᚩᚢᛚᛞ-ᚾᚩᛏ-ᚳᚩᛗᛒᛁᚾᛝ,TO HIDE BUT HE KOULD NOT KOMBINING,1060
ᚻᛖ-ᛞᚢᚷ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ-ᚪᚾᛞ-ᚻᛁᛚᛚᛋ-ᛁᚾ-ᚢᚪᛋᛏ-ᛋᛏᚱᛖᛝᚦ,HE DUG MOUNTAINS AND HILLS IN UAST STREINGTH,1592
ᚻᛖ-ᛈᛁᛚᛖᛞ-ᚦᛖᛗ-ᛁᚾ-ᛁᚾᚳᛖᛋᛋᚪᚾᛏ-ᛚᚪᛒᚩᚢᚱ,HE PILED THEM IN INKESSANT LABOUR,1279
ᛁᚾ-ᚻᚩᚹᛚᛝᛋ-ᚪᚾᛞ-ᛈᚪᛝᛋ-ᚪᚾᛞ-ᚠᛁᛖᚱᚳᛖ-ᛗᚪᛞᚾᛖᛋᛋ,IN HOWLINGS AND PAINGS AND FIERKE MADNESS,1666
ᛚᚩᛝ-ᛈᛖᚱᛡᛞᛋ-ᛁᚾ-ᛒᚢᚱᚾᛝ-ᚠᛁᚱᛖᛋ-ᛚᚪᛒᚩᚢᚱᛝ,LOING PERIADS IN BURNING FIRES LABOURING,1267
ᛏᛁᛚᛚ-ᚻᚩᚪᚱᚣ-ᚪᚾᛞ-ᚪᚷᛖ-ᛒᚱᚩᚳᛖ-ᚪᚾᛞ-ᚪᚷᛖᛞ,TILL HOARY AND AGE BROKE AND AGED,1517
ᛁᚾ-ᛞᛖᛋᛈᚪᛁᚱ-ᚪᚾᛞ-ᚦᛖ-ᛋᚻᚪᛞᚩᚹᛋ-ᚩᚠ-ᛞᛠᚦ,IN DESPAIR AND THE SHADOWS OF DEATH,1291
ᚪᚾᛞ-ᚪ-ᚱᚩᚩᚠ-ᚢᚪᛋᛏ-ᛈᛖᛏᚱᛁᚠᛁᚳ-ᚪᚱᚩᚢᚾᛞ,AND A ROOF UAST PETRIFIK AROUND,1044
ᚩᚾ-ᚪᛚᛚ-ᛋᛁᛞᛖᛋ-ᚻᛖ-ᚠᚱᚪᛗᛞ-ᛚᛁᚳᛖ-ᚪ-ᚹᚩᛗᛒ,ON ALL SIDES HE FRAMD LIKE A WOMB,1371
ᚹᚻᛖᚱᛖ-ᚦᚩᚢᛋᚪᚾᛞᛋ-ᚩᚠ-ᚱᛁᚢᛖᚱᛋ-ᛁᚾ-ᚢᛖᛁᚾᛋ,WHERE THOUSANDS OF RIUERS IN UEINS,951
ᚩᚠ-ᛒᛚᚩᚩᛞ-ᛈᚩᚢᚱ-ᛞᚩᚹᚾ-ᚦᛖ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ-ᛏᚩ-ᚳᚩᚩᛚ,OF BLOOD POUR DOWN THE MOUNTAINS TO KOOL,1071
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᚠᛁᚱᛖᛋ-ᛒᛠᛏᛝ-ᚹᛁᚦᚩᚢᛏ,THE ETERNAL FIRES BEATING WITHOUT,1071
ᚠᚱᚩᛗ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᚪᚾᛞ-ᛚᛁᚳᛖ-ᚪ-ᛒᛚᚪᚳᚳ-ᚷᛚᚩᛒᛖ,FROM ETERNALS AND LIKE A BLAKK GLOBE,1525
ᚢᛁᛖᚹᛞ-ᛒᚣ-ᛋᚩᚾᛋ-ᚩᚠ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᛋᛏᚪᚾᛞᛝ,UIEWD BY SONS OF ETERNITY STANDING,1356
ᚩᚾ-ᚦᛖ-ᛋᚻᚩᚱᛖ-ᚩᚠ-ᚦᛖ-ᛁᚾᚠᛁᚾᛁᛏᛖ-ᚩᚳᛠᚾ,ON THE SHORE OF THE INFINITE OKEAN,787
ᛚᛁᚳᛖ-ᚪ-ᚻᚢᛗᚪᚾ-ᚻᛠᚱᛏ-ᛋᛏᚱᚢᚷᛚᛝ-ᚪᚾᛞ-ᛒᛠᛏᛝ,LIKE A HUMAN HEART STRUGLING AND BEATING,1524
ᚦᛖ-ᚢᚪᛋᛏ-ᚹᚩᚱᛚᛞ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ-ᚪᛈᛈᛠᚱᛞ,THE UAST WORLD OF URISEN APPEARD,1078
ᚪᚾᛞ-ᛚᚩᛋ-ᚱᚩᚢᚾᛞ-ᚦᛖ-ᛞᚪᚱᚳ-ᚷᛚᚩᛒᛖ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,AND LOS ROUND THE DARK GLOBE OF URISEN,1197
ᚳᛖᛈᛏ-ᚹᚪᛏᚳᚻ-ᚠᚩᚱ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛏᚩ-ᚳᚩᚾᚠᛁᚾᛖ,KEPT WATKH FOR ETERNALS TO KONFINE,1113
ᚦᛖ-ᚩᛒᛋᚳᚢᚱᛖ-ᛋᛖᛈᚪᚱᚪᛏᛡᚾ-ᚪᛚᚩᚾᛖ,THE OBSKURE SEPARATIAN ALONE,1123
ᚠᚩᚱ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᛋᛏᚩᚩᛞ-ᚹᛁᛞᛖ-ᚪᛈᚪᚱᛏ,FOR ETERNITY STOOD WIDE APART,1174
ᚪᛋ-ᚦᛖ-ᛋᛏᚪᚱᛋ-ᚪᚱᛖ-ᚪᛈᚪᚱᛏ-ᚠᚱᚩᛗ-ᚦᛖ-ᛠᚱᚦ,AS THE STARS ARE APART FROM THE EARTH,1265
ᛚᚩᛋ-ᚹᛖᛈᛏ-ᚻᚩᚹᛚᛝ-ᚪᚱᚩᚢᚾᛞ-ᚦᛖ-ᛞᚪᚱᚳ-ᛞᛖᛗᚩᚾ,LOS WEPT HOWLING AROUND THE DARK DEMON,1303
ᚪᚾᛞ-ᚳᚢᚱᛋᛝ-ᚻᛁᛋ-ᛚᚩᛏ-ᚠᚩᚱ-ᛁᚾ-ᚪᛝᚢᛁᛋᚻ,AND KURSING HIS LOT FOR IN AINGUISH,986
ᚢᚱᛁᛋᛖᚾ-ᚹᚪᛋ-ᚱᛖᚾᛏ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᛋᛁᛞᛖ,URISEN WAS RENT FROM HIS SIDE,967
ᚪᚾᛞ-ᚪ-ᚠᚪᚦᚩᛗᛚᛖᛋᛋ-ᚢᚩᛁᛞ-ᚠᚩᚱ-ᚻᛁᛋ-ᚠᛖᛖᛏ,AND A FATHOMLESS UOID FOR HIS FEET,1192
ᚪᚾᛞ-ᛁᚾᛏᛖᚾᛋᛖ-ᚠᛁᚱᛖᛋ-ᚠᚩᚱ-ᚻᛁᛋ-ᛞᚹᛖᛚᛚᛝ,AND INTENSE FIRES FOR HIS DWELLING,1241
ᛒᚢᛏ-ᚢᚱᛁᛋᛖᚾ-ᛚᚪᛁᛞ-ᛁᚾ-ᚪ-ᛋᛏᚩᚾᚣ-ᛋᛚᛖᛖᛈ,BUT URISEN LAID IN A STONY SLEEP,1318
ᚢᚾᚩᚱᚷᚪᚾᛁᛋᛞ-ᚱᛖᚾᛏ-ᚠᚱᚩᛗ-ᛖᛏᛖᚱᚾᛁᛏᚣ,UNORGANISD RENT FROM ETERNITY,1049
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛋᚪᛁᛞ-ᚹᚻᚪᛏ-ᛁᛋ-ᚦᛁᛋ-ᛞᛠᚦ,THE ETERNALS SAID WHAT IS THIS DEATH,1372
ᚢᚱᛁᛋᛖᚾ-ᛁᛋ-ᚪ-ᚳᛚᚩᛞ-ᚩᚠ-ᚳᛚᚪᚣ,URISEN IS A KLOD OF KLAY,852
ᛚᚩᛋ-ᚻᚩᚹᛚᛞ-ᛁᚾ-ᚪ-ᛞᛁᛋᛗᚪᛚ-ᛋᛏᚢᛈᚩᚱ,LOS HOWLD IN A DISMAL STUPOR,1091
ᚷᚱᚩᚪᚾᛝ-ᚷᚾᚪᛋᚻᛝ-ᚷᚱᚩᚪᚾᛝ,GROANING GNASHING GROANING,778
ᛏᛁᛚᛚ-ᚦᛖ-ᚹᚱᛖᚾᚳᚻᛝ-ᚪᛈᚪᚱᛏ-ᚹᚪᛋ-ᚻᛠᛚᛖᛞ,TILL THE WRENKHING APART WAS HEALED,1386
ᛒᚢᛏ-ᚦᛖ-ᚹᚱᛖᚾᚳᚻᛝ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ-ᚻᛠᛚᛞ-ᚾᚩᛏ,BUT THE WRENKHING OF URISEN HEALD NOT,1028
ᚳᚩᛚᛞ-ᚠᛠᛏᚢᚱᛖᛚᛖᛋᛋ-ᚠᛚᛖᛋᚻ-ᚩᚱ-ᚳᛚᚪᚣ,KOLD FEATURELESS FLESH OR KLAY,1201
ᚱᛁᚠᛏᛖᛞ-ᚹᛁᚦ-ᛞᛁᚱᛖᚠᚢᛚ-ᚳᚻᚪᛝᛖᛋ,RIFTED WITH DIREFUL KHAINGES,922
ᚻᛖ-ᛚᚪᚣ-ᛁᚾ-ᚪ-ᛞᚱᛠᛗᛚᛖᛋᛋ-ᚾᛁᚷᚻᛏ,HE LAY IN A DREAMLESS NIGHT,1205
ᛏᛁᛚᛚ-ᛚᚩᛋ-ᚱᚩᚢᛋᛞ-ᚻᛁᛋ-ᚠᛁᚱᛖᛋ-ᚪᚠᚠᚱᛁᚷᚻᛏᛖᛞ,TILL LOS ROUSD HIS FIRES AFFRIGHTED,1201
ᚪᛏ-ᚦᛖ-ᚠᚩᚱᛗᛚᛖᛋᛋ-ᚢᚾᛗᛠᛋᚢᚱᚪᛒᛚᛖ-ᛞᛠᚦ,AT THE FORMLESS UNMEASURABLE DEATH,1345
ᛚᚩᛋ-ᛋᛗᛁᛏᛏᛖᚾ-ᚹᛁᚦ-ᚪᛋᛏᚩᚾᛁᛋᚻᛗᛖᚾᛏ,LOS SMITTEN WITH ASTONISHMENT,1135
ᚠᚱᛁᚷᚻᛏᛖᚾᛞ-ᚪᛏ-ᚦᛖ-ᚻᚢᚱᛏᛚᛝ-ᛒᚩᚾᛖᛋ,FRIGHTEND AT THE HURTLING BONES,1021
ᚪᚾᛞ-ᚪᛏ-ᚦᛖ-ᛋᚢᚱᚷᛝ-ᛋᚢᛚᛈᚻᚢᚱᛇᚢᛋ,AND AT THE SURGING SULPHUREOUS,912
ᛈᛖᚱᛏᚢᚱᛒᛖᛞ-ᛁᛗᛗᚩᚱᛏᚪᛚ-ᛗᚪᛞ-ᚱᚪᚷᛝ,PERTURBED IMMORTAL MAD RAGING,1292
ᛁᚾ-ᚹᚻᛁᚱᛚᚹᛁᚾᛞᛋ-ᚪᚾᛞ-ᛈᛁᛏᚳᚻ-ᚪᚾᛞ-ᚾᛁᛏᚱᛖ,IN WHIRLWINDS AND PITKH AND NITRE,1234
ᚱᚩᚢᚾᛞ-ᚦᛖ-ᚠᚢᚱᛡᚢᛋ-ᛚᛁᛗᛒᛋ-ᚩᚠ-ᛚᚩᛋ,ROUND THE FURIAUS LIMBS OF LOS,821
ᚪᚾᛞ-ᛚᚩᛋ-ᚠᚩᚱᛗᛖᛞ-ᚾᛖᛏᛋ-ᚪᚾᛞ-ᚷᛁᚾᛋ,AND LOS FORMED NETS AND GINS,1148
ᚪᚾᛞ-ᚦᚱᛖᚹ-ᚦᛖ-ᚾᛖᛏᛋ-ᚱᚩᚢᚾᛞ-ᚪᛒᚩᚢᛏ,AND THREW THE NETS ROUND ABOUT,963
ᚻᛖ-ᚹᚪᛏᚳᚻᛞ-ᛁᚾ-ᛋᚻᚢᛞᛞᚱᛝ-ᚠᛠᚱ,HE WATKHD IN SHUDDRING FEAR,919
ᚦᛖ-ᛞᚪᚱᚳ-ᚳᚻᚪᛝᛖᛋ-ᚪᚾᛞ-ᛒᚩᚢᚾᛞ-ᛖᚢᛖᚱᚣ-ᚳᚻᚪᛝᛖ,THE DARK KHAINGES AND BOUND EUERY KHAINGE,1548
ᚹᛁᚦ-ᚱᛁᚢᛖᛏᛋ-ᚩᚠ-ᛁᚱᚩᚾ-ᚪᚾᛞ-ᛒᚱᚪᛋᛋ,WITH RIUETS OF IRON AND BRASS,856
ᚪᚾᛞ-ᚦᛖᛋᛖ-ᚹᛖᚱᛖ-ᚦᛖ-ᚳᚻᚪᛝᛖᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,AND THESE WERE THE KHAINGES OF URISEN,1178
ᚪᚷᛖᛋ-ᚩᚾ-ᚪᚷᛖᛋ-ᚱᚩᛚᛚᛞ-ᚩᚢᛖᚱ-ᚻᛁᛗ,AGES ON AGES ROLLD OUER HIM,970
ᛁᚾ-ᛋᛏᚩᚾᚣ-ᛋᛚᛖᛖᛈ-ᚪᚷᛖᛋ-ᚱᚩᛚᛚᛞ-ᚩᚢᛖᚱ-ᚻᛁᛗ,IN STONY SLEEP AGES ROLLD OUER HIM,1314
ᛚᛁᚳᛖ-ᚪ-ᛞᚪᚱᚳ-ᚹᚪᛋᛏᛖ-ᛋᛏᚱᛖᛏᚳᚻᛝ-ᚳᚻᚪᛝᚪᛒᛚᛖ,LIKE A DARK WASTE STRETKHING KHAINGABLE,1660
ᛒᚣ-ᛠᚱᚦᚢᚪᚳᛖᛋ-ᚱᛁᚢᚾ-ᛒᛖᛚᚳᚻᛝ-ᛋᚢᛚᛚᛖᚾ-ᚠᛁᚱᛖᛋ,BY EARTHUAKES RIUN BELKHING SULLEN FIRES,1374
ᚩᚾ-ᚪᚷᛖᛋ-ᚱᚩᛚᛚᛞ-ᚪᚷᛖᛋ-ᛁᚾ-ᚷᚻᚪᛋᛏᛚᚣ,ON AGES ROLLD AGES IN GHASTLY,1242
ᛋᛁᚳᚳ-ᛏᚩᚱᛗᛖᚾᛏ-ᚪᚱᚩᚢᚾᛞ-ᚻᛁᛗ-ᛁᚾ-ᚹᚻᛁᚱᛚᚹᛁᚾᛞᛋ,SIKK TORMENT AROUND HIM IN WHIRLWINDS,1212
ᚩᚠ-ᛞᚪᚱᚳᚾᛖᛋᛋ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛈᚱᚩᛈᚻᛖᛏ-ᚻᚩᚹᛚᛞ,OF DARKNESS THE ETERNAL PROPHET HOWLD,1360
ᛒᛠᛏᛝ-ᛋᛏᛁᛚᛚ-ᚩᚾ-ᚻᛁᛋ-ᚱᛁᚢᛖᛏᛋ-ᚩᚠ-ᛁᚱᚩᚾ,BEATING STILL ON HIS RIUETS OF IRON,1051
ᛈᚩᚢᚱᛝ-ᛋᚩᛞᚩᚱ-ᚩᚠ-ᛁᚱᚩᚾ-ᛞᛁᚢᛁᛞᛝ,POURING SODOR OF IRON DIUIDING,719
ᚦᛖ-ᚻᚩᚱᚱᛁᛒᛚᛖ-ᚾᛁᚷᚻᛏ-ᛁᚾᛏᚩ-ᚹᚪᛏᚳᚻᛖᛋ,THE HORRIBLE NIGHT INTO WATKHES,972
ᚪᚾᛞ-ᚢᚱᛁᛋᛖᚾ-ᛋᚩ-ᚻᛁᛋ-ᛖᛏᛖᚱᚾᚪᛚ-ᚾᚪᛗᛖ,AND URISEN SO HIS ETERNAL NAME,1243
ᚻᛁᛋ-ᛈᚱᚩᛚᛁᚠᛁᚳ-ᛞᛖᛚᛁᚷᚻᛏ-ᚩᛒᛋᚳᚢᚱᛞ-ᛗᚩᚱᛖ-ᚪᚾᛞ-ᛗᚩᚱᛖ,HIS PROLIFIK DELIGHT OBSKURD MORE AND MORE,1441
ᛁᚾ-ᛞᚪᚱᚳ-ᛋᛖᚳᚱᛖᛋᚣ-ᚻᛁᛞᛝ-ᛁᚾ-ᛋᚢᚱᚷᛖᛝ,IN DARK SEKRESY HIDING IN SURGEING,1149
ᛋᚢᛚᛈᚻᚢᚱᛇᚢᛋ-ᚠᛚᚢᛁᛞ-ᚻᛁᛋ-ᛈᚻᚪᚾᛏᚪᛋᛁᛖᛋ,SULPHUREOUS FLUID HIS PHANTASIES,1163
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛈᚱᚩᛈᚻᛖᛏ-ᚻᛠᚢᛞ-ᚦᛖ-ᛞᚪᚱᚳ-ᛒᛖᛚᛚᚩᚹᛋ,THE ETERNAL PROPHET HEAUD THE DARK BELLOWS,1587
ᚪᚾᛞ-ᛏᚢᚱᚾᛞ-ᚱᛖᛋᛏᛚᛖᛋᛋ-ᚦᛖ-ᛏᚩᛝᛋ-ᚪᚾᛞ-ᚦᛖ-ᚻᚪᛗᛗᛖᚱ,AND TURND RESTLESS THE TOINGS AND THE HAMMER,1739
ᛁᚾᚳᛖᛋᛋᚪᚾᛏ-ᛒᛠᛏ-ᚠᚩᚱᚷᛝ-ᚳᚻᚪᛁᚾᛋ-ᚾᛖᚹ-ᚪᚾᛞ-ᚾᛖᚹ,INKESSANT BEAT FORGING KHAINS NEW AND NEW,1467
ᚾᚢᛗᛒᚱᛝ-ᚹᛁᚦ-ᛚᛁᚾᚳᛋ-ᚻᚩᚢᚱᛋ-ᛞᚪᚣᛋ-ᚪᚾᛞ-ᚣᛠᚱᛋ,NUMBRING WITH LINKS HOURS DAYS AND YEARS,1438
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛗᛁᚾᛞ-ᛒᚩᚢᚾᛞᛖᛞ-ᛒᛖᚷᚪᚾ-ᛏᚩ-ᚱᚩᛚᛚ,THE ETERNAL MIND BOUNDED BEGAN TO ROLL,1541
ᛖᛞᛞᛁᛖᛋ-ᚩᚠ-ᚹᚱᚪᚦ-ᚳᛠᛋᛖᛚᛖᛋᛋ-ᚱᚩᚢᚾᛞ-ᚪᚾᛞ-ᚱᚩᚢᚾᛞ,EDDIES OF WRATH KEASELESS ROUND AND ROUND,1518
ᚪᚾᛞ-ᚦᛖ-ᛋᚢᛚᛈᚻᚢᚱᛇᚢᛋ-ᚠᚩᚪᛗ-ᛋᚢᚱᚷᛖᛝ-ᚦᛁᚳᚳ,AND THE SULPHUREOUS FOAM SURGEING THIKK,1062
ᛋᛖᛏᛏᛚᛖᛞ-ᚪ-ᛚᚪᚳᛖ-ᛒᚱᛁᚷᚻᛏ-ᚪᚾᛞ-ᛋᚻᛁᚾᛝ-ᚳᛚᛠᚱ,SETTLED A LAKE BRIGHT AND SHINING KLEAR,1652
ᚹᚻᛁᛏᛖ-ᚪᛋ-ᚦᛖ-ᛋᚾᚩᚹ-ᚩᚾ-ᚦᛖ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ-ᚳᚩᛚᛞ,WHITE AS THE SNOW ON THE MOUNTAINS KOLD,1198
ᚠᚩᚱᚷᛖᛏᚠᚢᛚᚾᛖᛋᛋ-ᛞᚢᛗᛒᚾᛖᛋᛋ-ᚾᛖᚳᛖᛋᛋᛁᛏᚣ,FORGETFULNESS DUMBNESS NEKESSITY,1344
ᛁᚾ-ᚳᚻᚪᛁᚾᛋ-ᚩᚠ-ᚦᛖ-ᛗᛁᚾᛞ-ᛚᚩᚳᚳᛖᛞ-ᚢᛈ,IN KHAINS OF THE MIND LOKKED UP,915
ᛚᛁᚳᛖ-ᚠᛖᛏᛏᛖᚱᛋ-ᚩᚠ-ᛁᚳᛖ-ᛋᚻᚱᛁᚾᚳᛝ-ᛏᚩᚷᛖᚦᛖᚱ,LIKE FETTERS OF IKE SHRINKING TOGETHER,1094
ᛞᛁᛋᚩᚱᚷᚪᚾᛁᛋᛞ-ᚱᛖᚾᛏ-ᚠᚱᚩᛗ-ᛖᛏᛖᚱᚾᛁᛏᚣ,DISORGANISD RENT FROM ETERNITY,1190
ᛚᚩᛋ-ᛒᛠᛏ-ᚩᚾ-ᚻᛁᛋ-ᚠᛖᛏᛏᛖᚱᛋ-ᚩᚠ-ᛁᚱᚩᚾ,LOS BEAT ON HIS FETTERS OF IRON,910
ᚪᚾᛞ-ᚻᛠᛏᛖᛞ-ᚻᛁᛋ-ᚠᚢᚱᚾᚪᚳᛖᛋ-ᚪᚾᛞ-ᛈᚩᚢᚱᛞ,AND HEATED HIS FURNAKES AND POURD,1312
ᛁᚱᚩᚾ-ᛋᚩᛞᚩᚱ-ᚪᚾᛞ-ᛋᚩᛞᚩᚱ-ᚩᚠ-ᛒᚱᚪᛋᛋ,IRON SODOR AND SODOR OF BRASS,911
ᚱᛖᛋᛏᛚᛖᛋᛋ-ᛏᚢᚱᚾᛞ-ᚦᛖ-ᛁᛗᛗᚩᚱᛏᚪᛚ-ᛁᚾᚳᚻᚪᛁᚾᛞ,RESTLESS TURND THE IMMORTAL INKHAIND,1461
ᚻᛠᚢᛝ-ᛞᚩᛚᚩᚱᚩᚢᛋ-ᚪᛝᚢᛁᛋᚻᛞ-ᚢᚾᛒᛠᚱᚪᛒᛚᛖ,HEAUING DOLOROUS AINGUISHD UNBEARABLE,1350
ᛏᛁᛚᛚ-ᚪ-ᚱᚩᚩᚠ-ᛋᚻᚪᚷᚷᚣ-ᚹᛁᛚᛞ-ᛁᚾᚳᛚᚩᛋᛞ,TILL A ROOF SHAGGY WILD INKLOSD,1177
ᛁᚾ-ᚪᚾ-ᚩᚱᛒ-ᚻᛁᛋ-ᚠᚩᚢᚾᛏᚪᛁᚾ-ᚩᚠ-ᚦᚩᚢᚷᚻᛏ,IN AN ORB HIS FOUNTAIN OF THOUGHT,752
ᛁᚾ-ᚪ-ᚻᚩᚱᚱᛁᛒᛚᛖ-ᛞᚱᛠᛗᚠᚢᛚ-ᛋᛚᚢᛗᛒᛖᚱ,IN A HORRIBLE DREAMFUL SLUMBER,1138
ᛚᛁᚳᛖ-ᚦᛖ-ᛚᛁᚾᚳᛖᛞ-ᛁᚾᚠᛖᚱᚾᚪᛚ-ᚳᚻᚪᛁᚾ,LIKE THE LINKED INFERNAL KHAIN,1090
ᚪ-ᚢᚪᛋᛏ-ᛋᛈᛁᚾᛖ-ᚹᚱᛁᚦᛞ-ᛁᚾ-ᛏᚩᚱᛗᛖᚾᛏ,A UAST SPINE WRITHD IN TORMENT,1050
ᚢᛈᚩᚾ-ᚦᛖ-ᚹᛁᚾᛞᛋ-ᛋᚻᚩᚩᛏᛝ-ᛈᚪᛁᚾᛞ,UPON THE WINDS SHOOTING PAIND,892
ᚱᛁᛒᛋ-ᛚᛁᚳᛖ-ᚪ-ᛒᛖᚾᛞᛝ-ᚳᚪᚢᛖᚱᚾ,RIBS LIKE A BENDING KAUERN,982
ᚪᚾᛞ-ᛒᚩᚾᛖᛋ-ᚩᚠ-ᛋᚩᛚᛁᛞᚾᛖᛋᛋ-ᚠᚱᚩᛋᛖ,AND BONES OF SOLIDNESS FROSE,1036
ᚩᚢᛖᚱ-ᚪᛚᛚ-ᚻᛁᛋ-ᚾᛖᚱᚢᛖᛋ-ᚩᚠ-ᛄᚩᚣ,OUER ALL HIS NERUES OF JOY,824
ᚪᚾᛞ-ᚪ-ᚠᛁᚱᛋᛏ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A FIRST AGE PASSED OUER,1139
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᚠᚱᚩᛗ-ᚦᛖ-ᚳᚪᚢᛖᚱᚾᛋ-ᚩᚠ-ᚻᛁᛋ-ᛄᚩᛁᚾᛏᛖᛞ-ᛋᛈᛁᚾᛖ,FROM THE KAUERNS OF HIS JOINTED SPINE,1094
ᛞᚩᚹᚾ-ᛋᚢᚾᚳ-ᚹᛁᚦ-ᚠᚱᛁᚷᚻᛏ-ᚪ-ᚱᛖᛞ,DOWN SUNK WITH FRIGHT A RED,704
ᚱᚩᚢᚾᛞ-ᚷᛚᚩᛒᛖ-ᚻᚩᛏ-ᛒᚢᚱᚾᛝ-ᛞᛖᛖᛈ,ROUND GLOBE HOT BURNING DEEP,902
ᛞᛖᛖᛈ-ᛞᚩᚹᚾ-ᛁᚾᛏᚩ-ᚦᛖ-ᚪᛒᚣᛋᛋ,DEEP DOWN INTO THE ABYSS,975
ᛈᚪᚾᛏᛝ-ᚳᚩᛝᛚᚩᛒᛝ-ᛏᚱᛖᛗᛒᛚᛝ,PANTING KOINGLOBING TREMBLING,1047
ᛋᚻᚩᚩᛏᛝ-ᚩᚢᛏ-ᛏᛖᚾ-ᚦᚩᚢᛋᚪᚾᛞ-ᛒᚱᚪᚾᚳᚻᛖᛋ,SHOOTING OUT TEN THOUSAND BRANKHES,1089
ᚪᚱᚩᚢᚾᛞ-ᚻᛁᛋ-ᛋᚩᛚᛁᛞ-ᛒᚩᚾᛖᛋ,AROUND HIS SOLID BONES,813
ᚪᚾᛞ-ᚪ-ᛋᛖᚳᚩᚾᛞ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A SEKOND AGE PASSED OUER,1241
